Cluster,ClusterRank,deltaG,deltaGelec,deltaGvdw,deltaGligsolvnonpol,deltaGligsolvpol,deltaGprotsolvnonpol,deltaGprotsolvpol,deltaGcompsolvnonpol,deltaGcompsolvpol,extraFull,surfFull,solvFull,IntraFull,InterFull,FullFitness,SimpleFitness,Energy
0,0,-9.15249,0,-84.6325,9.08057,-47.0799,223.528,-1783.67,224.015,-1771,0,224.015,-1771,-28.088,-84.6325,-1659.7054,4.41386,4.41386
0,1,-9.140003,0,-84.8738,9.06687,-47.4073,223.528,-1783.67,224.014,-1770.77,0,224.014,-1770.77,-27.9228,-84.8738,-1659.5526,4.58655,4.58655
1,0,-9.433285,0,-89.9828,8.56665,-46.3774,223.528,-1783.67,223.517,-1766.64,0,223.517,-1766.64,-25.5638,-89.9828,-1658.6697,1.40909,1.40909
1,1,-9.433285,0,-89.9828,8.56665,-46.3774,223.528,-1783.67,223.517,-1766.64,0,223.517,-1766.64,-25.5638,-89.9828,-1658.6697,1.40909,1.40909
1,2,-9.438662,0,-90.1696,8.55537,-46.3878,223.528,-1783.67,223.506,-1766.45,0,223.506,-1766.45,-25.4202,-90.1696,-1658.5338,1.47658,1.47658
1,3,-9.438662,0,-90.1696,8.55537,-46.3878,223.528,-1783.67,223.506,-1766.45,0,223.506,-1766.45,-25.4202,-90.1696,-1658.5338,1.47658,1.47658
1,4,-9.438662,0,-90.1696,8.55537,-46.3878,223.528,-1783.67,223.506,-1766.45,0,223.506,-1766.45,-25.4202,-90.1696,-1658.5338,1.47658,1.47658
1,5,-8.946398,0,-85.3842,8.44423,-46.4601,223.528,-1783.67,223.197,-1765.57,0,223.197,-1765.57,-24.6596,-85.3842,-1652.4167,4.93134,4.93134
1,6,-8.946398,0,-85.3842,8.44423,-46.4601,223.528,-1783.67,223.197,-1765.57,0,223.197,-1765.57,-24.6596,-85.3842,-1652.4167,4.93134,4.93134
1,7,-8.946398,0,-85.3842,8.44423,-46.4601,223.528,-1783.67,223.197,-1765.57,0,223.197,-1765.57,-24.6596,-85.3842,-1652.4167,4.93134,4.93134
2,0,-9.384562,0,-89.6704,9.00904,-48.2967,223.528,-1783.67,222.571,-1766.1,0,222.571,-1766.1,-22.8153,-89.6704,-1656.0146,7.88247,7.88247
2,1,-9.118859,0,-86.6726,9.00954,-46.467,223.528,-1783.67,222.641,-1764.67,0,222.641,-1764.67,-27.0006,-86.6726,-1655.7023,5.88076,5.88076
2,2,-9.044818,0,-85.149,8.75639,-49.6496,223.528,-1783.67,222.648,-1769.4,0,222.648,-1769.4,-23.5449,-85.149,-1655.4459,6.69645,6.69645
2,3,-9.044818,0,-85.149,8.75639,-49.6496,223.528,-1783.67,222.648,-1769.4,0,222.648,-1769.4,-23.5449,-85.149,-1655.4459,6.69645,6.69645
